package_path,distribution_name,package_family,python_target,lockfile_path,dependency_groups,default_groups,deploy_release_boundary,internal_source_mode,direct_numpy_constraint,resolved_numpy_versions,resolved_numpy_majors,recent_dependency_churn_examples
api/python,quilt3,sdk,>=3.9,api/python/uv.lock,dev,none,PyPI-released SDK and CLI package,none,optional:pyarrow: numpy>=1.14.0,1.26.4; 2.0.2; 2.2.6; 2.3.4,1; 2,none
api/python/quilt3-graphql,quilt3-graphql-codegen,tooling,>=3.12,api/python/quilt3-graphql/uv.lock,dev,none,in-repo GraphQL code generation package consumed by api/python,none,none,none,none,none
gendocs,quilt3-gendocs,tooling,==3.9.*,gendocs/uv.lock,none,none,in-repo documentation generation tool,path (editable),none,none,none,none
lambdas/access_counts,t4_lambda_access_counts,zip-lambda,==3.13.*,lambdas/access_counts/uv.lock,test,test,zip lambda artifact built from lambdas/access_counts,GitHub archive URL,none,none,none,none
lambdas/es_ingest,t4_lambda_es_ingest,zip-lambda,==3.13.*,lambdas/es_ingest/uv.lock,test,test,zip lambda artifact built from lambdas/es_ingest,GitHub archive URL,none,none,none,none
lambdas/iceberg,t4_lambda_iceberg,zip-lambda,==3.13.*,lambdas/iceberg/uv.lock,test,test,zip lambda artifact built from lambdas/iceberg,GitHub archive URL,none,none,none,none
lambdas/indexer,t4_lambda_es_indexer,container-lambda,==3.12.*,lambdas/indexer/uv.lock,prod; test,test,container lambda image built from lambdas/indexer,path (editable),none,1.26.4,1,none
lambdas/manifest_indexer,t4_lambda_manifest_indexer,zip-lambda,==3.13.*,lambdas/manifest_indexer/uv.lock,test,test,zip lambda artifact built from lambdas/manifest_indexer,GitHub archive URL,none,none,none,none
lambdas/pkgevents,t4_lambda_pkgevents,zip-lambda,==3.13.*,lambdas/pkgevents/uv.lock,test,test,zip lambda artifact built from lambdas/pkgevents,GitHub archive URL,none,none,none,none
lambdas/pkgpush,t4_lambda_pkgpush,zip-lambda,==3.13.*,lambdas/pkgpush/uv.lock,test,test,zip lambda artifact built from lambdas/pkgpush,GitHub archive URL,none,none,none,none
lambdas/preview,t4_lambda_preview,zip-lambda,==3.13.*,lambdas/preview/uv.lock,test,test,zip lambda artifact built from lambdas/preview,path (editable),none,2.4.4,2,none
lambdas/s3hash,t4_lambda_s3hash,zip-lambda,==3.13.*,lambdas/s3hash/uv.lock,test,test,zip lambda artifact built from lambdas/s3hash,GitHub archive URL,none,none,none,none
lambdas/shared,t4_lambda_shared,shared,>=3.12,lambdas/shared/uv.lock,test,test,shared internal lambda support library consumed by lambda packages,none,"optional:preview: numpy>=1.26,<3",2.4.4,2,none
lambdas/status_reports,t4_lambda_status_reports,zip-lambda,==3.13.*,lambdas/status_reports/uv.lock,test,test,zip lambda artifact built from lambdas/status_reports,none,none,none,none,none
lambdas/tabular_preview,t4_lambda_tabular_preview,container-lambda,==3.13.*,lambdas/tabular_preview/uv.lock,prod; test,test,container lambda image built from lambdas/tabular_preview,GitHub archive URL,dependencies: numpy ~= 2.3,2.3.5,2,none
lambdas/thumbnail,t4_lambda_thumbnail,container-lambda,~=3.13.0,lambdas/thumbnail/uv.lock,prod; test,test,container lambda image built from lambdas/thumbnail,GitHub archive URL,dependencies: numpy~=2.3,2.3.4,2,none
lambdas/transcode,t4_lambda_transcode,zip-lambda,==3.13.*,lambdas/transcode/uv.lock,test,test,zip lambda artifact built from lambdas/transcode,GitHub archive URL,none,none,none,none
py-shared,quilt-shared,shared,">= 3.9, < 4",py-shared/uv.lock,test,test,shared internal Python library consumed by lambdas/services,none,optional:es: numpy < 2,1.26.4,1,none
testdocs,testdocs,tooling,">=3.11,<4",testdocs/uv.lock,none,none,in-repo documentation codeblock validation tool,path (editable),none,2.0.2,2,none
